,Rental_Price,Time,District,RoomType
113,2730.0,Q3 2022,Bishan,Room4
114,3300.0,Q3 2022,Bishan,Room5
116,2000.0,Q3 2022,Bukit Batok,Room3
117,2500.0,Q3 2022,Bukit Batok,Room4
118,2800.0,Q3 2022,Bukit Batok,Room5
120,2400.0,Q3 2022,Bukit Merah,Room3
121,3000.0,Q3 2022,Bukit Merah,Room4
122,3450.0,Q3 2022,Bukit Merah,Room5
124,2000.0,Q3 2022,Bukit Panjang,Room3
125,2550.0,Q3 2022,Bukit Panjang,Room4
126,2600.0,Q3 2022,Bukit Panjang,Room5
132,2600.0,Q3 2022,Central,Room3
133,3500.0,Q3 2022,Central,Room4
137,2600.0,Q3 2022,Choa Chu Kang,Room4
138,2500.0,Q3 2022,Choa Chu Kang,Room5
139,3000.0,Q3 2022,Choa Chu Kang,Executive
140,2350.0,Q3 2022,Clementi,Room3
141,3100.0,Q3 2022,Clementi,Room4
142,3500.0,Q3 2022,Clementi,Room5
144,2200.0,Q3 2022,Geylang,Room3
145,2600.0,Q3 2022,Geylang,Room4
146,3200.0,Q3 2022,Geylang,Room5
148,2200.0,Q3 2022,Hougang,Room3
149,2600.0,Q3 2022,Hougang,Room4
150,2500.0,Q3 2022,Hougang,Room5
151,2700.0,Q3 2022,Hougang,Executive
152,2200.0,Q3 2022,Jurong East,Room3
153,2800.0,Q3 2022,Jurong East,Room4
154,2900.0,Q3 2022,Jurong East,Room5
156,2150.0,Q3 2022,Jurong West,Room3
157,2600.0,Q3 2022,Jurong West,Room4
158,2800.0,Q3 2022,Jurong West,Room5
159,2600.0,Q3 2022,Jurong West,Executive
160,2300.0,Q3 2022,Kallang/ Whampoa,Room3
161,2900.0,Q3 2022,Kallang/ Whampoa,Room4
162,3200.0,Q3 2022,Kallang/ Whampoa,Room5
164,2300.0,Q3 2022,Marine Parade,Room3
165,2650.0,Q3 2022,Marine Parade,Room4
169,2500.0,Q3 2022,Pasir Ris,Room4
170,2700.0,Q3 2022,Pasir Ris,Room5
171,3000.0,Q3 2022,Pasir Ris,Executive
172,2750.0,Q3 2022,Punggol,Room3
173,2800.0,Q3 2022,Punggol,Room4
174,2800.0,Q3 2022,Punggol,Room5
176,2500.0,Q3 2022,Queenstown,Room3
177,3450.0,Q3 2022,Queenstown,Room4
178,3600.0,Q3 2022,Queenstown,Room5
181,2450.0,Q3 2022,Sembawang,Room4
182,2400.0,Q3 2022,Sembawang,Room5
183,3150.0,Q3 2022,Sembawang,Executive
185,2700.0,Q3 2022,Sengkang,Room4
186,2800.0,Q3 2022,Sengkang,Room5
187,2800.0,Q3 2022,Sengkang,Executive
188,2300.0,Q3 2022,Serangoon,Room3
189,2750.0,Q3 2022,Serangoon,Room4
190,2850.0,Q3 2022,Serangoon,Room5
192,2300.0,Q3 2022,Tampines,Room3
193,2500.0,Q3 2022,Tampines,Room4
194,2900.0,Q3 2022,Tampines,Room5
195,2930.0,Q3 2022,Tampines,Executive
196,2200.0,Q3 2022,Toa Payoh,Room3
197,2800.0,Q3 2022,Toa Payoh,Room4
198,3200.0,Q3 2022,Toa Payoh,Room5
200,2000.0,Q3 2022,Woodlands,Room3
201,2500.0,Q3 2022,Woodlands,Room4
202,2600.0,Q3 2022,Woodlands,Room5
203,2800.0,Q3 2022,Woodlands,Executive
204,2100.0,Q3 2022,Yishun,Room3
205,2500.0,Q3 2022,Yishun,Room4
206,2500.0,Q3 2022,Yishun,Room5
208,2000.0,Q2 2022,Ang Mo Kio,Room3
209,2400.0,Q2 2022,Ang Mo Kio,Room4
210,2650.0,Q2 2022,Ang Mo Kio,Room5
212,2000.0,Q2 2022,Bedok,Room3
213,2400.0,Q2 2022,Bedok,Room4
214,2600.0,Q2 2022,Bedok,Room5
216,2200.0,Q2 2022,Bishan,Room3
217,2600.0,Q2 2022,Bishan,Room4
218,2800.0,Q2 2022,Bishan,Room5
220,1900.0,Q2 2022,Bukit Batok,Room3
221,2400.0,Q2 2022,Bukit Batok,Room4
222,2450.0,Q2 2022,Bukit Batok,Room5
224,2200.0,Q2 2022,Bukit Merah,Room3
225,2900.0,Q2 2022,Bukit Merah,Room4
226,3000.0,Q2 2022,Bukit Merah,Room5
228,1700.0,Q2 2022,Bukit Panjang,Room3
229,2300.0,Q2 2022,Bukit Panjang,Room4
230,2500.0,Q2 2022,Bukit Panjang,Room5
236,2350.0,Q2 2022,Central,Room3
237,3050.0,Q2 2022,Central,Room4
240,2050.0,Q2 2022,Choa Chu Kang,Room3
241,2200.0,Q2 2022,Choa Chu Kang,Room4
242,2450.0,Q2 2022,Choa Chu Kang,Room5
243,2650.0,Q2 2022,Choa Chu Kang,Executive
244,2200.0,Q2 2022,Clementi,Room3
245,2700.0,Q2 2022,Clementi,Room4
246,2870.0,Q2 2022,Clementi,Room5
248,1950.0,Q2 2022,Geylang,Room3
249,2400.0,Q2 2022,Geylang,Room4
250,2700.0,Q2 2022,Geylang,Room5
252,1900.0,Q2 2022,Hougang,Room3
253,2200.0,Q2 2022,Hougang,Room4
254,2500.0,Q2 2022,Hougang,Room5
255,2630.0,Q2 2022,Hougang,Executive
256,2000.0,Q2 2022,Jurong East,Room3
257,2350.0,Q2 2022,Jurong East,Room4
258,2750.0,Q2 2022,Jurong East,Room5
260,1930.0,Q2 2022,Jurong West,Room3
261,2400.0,Q2 2022,Jurong West,Room4
262,2500.0,Q2 2022,Jurong West,Room5
263,2700.0,Q2 2022,Jurong West,Executive
264,2130.0,Q2 2022,Kallang/ Whampoa,Room3
265,2700.0,Q2 2022,Kallang/ Whampoa,Room4
266,2950.0,Q2 2022,Kallang/ Whampoa,Room5
268,2200.0,Q2 2022,Marine Parade,Room3
269,2430.0,Q2 2022,Marine Parade,Room4
273,2300.0,Q2 2022,Pasir Ris,Room4
274,2400.0,Q2 2022,Pasir Ris,Room5
275,2780.0,Q2 2022,Pasir Ris,Executive
276,2330.0,Q2 2022,Punggol,Room3
277,2500.0,Q2 2022,Punggol,Room4
278,2300.0,Q2 2022,Punggol,Room5
280,2300.0,Q2 2022,Queenstown,Room3
281,2900.0,Q2 2022,Queenstown,Room4
282,3200.0,Q2 2022,Queenstown,Room5
285,2200.0,Q2 2022,Sembawang,Room4
286,2400.0,Q2 2022,Sembawang,Room5
287,2250.0,Q2 2022,Sembawang,Executive
289,2300.0,Q2 2022,Sengkang,Room4
290,2400.0,Q2 2022,Sengkang,Room5
291,2500.0,Q2 2022,Sengkang,Executive
292,2100.0,Q2 2022,Serangoon,Room3
293,2500.0,Q2 2022,Serangoon,Room4
294,2700.0,Q2 2022,Serangoon,Room5
296,2150.0,Q2 2022,Tampines,Room3
297,2350.0,Q2 2022,Tampines,Room4
298,2500.0,Q2 2022,Tampines,Room5
299,2700.0,Q2 2022,Tampines,Executive
300,2000.0,Q2 2022,Toa Payoh,Room3
301,2600.0,Q2 2022,Toa Payoh,Room4
302,2850.0,Q2 2022,Toa Payoh,Room5
304,2000.0,Q2 2022,Woodlands,Room3
305,2300.0,Q2 2022,Woodlands,Room4
306,2400.0,Q2 2022,Woodlands,Room5
307,2500.0,Q2 2022,Woodlands,Executive
308,1950.0,Q2 2022,Yishun,Room3
309,2250.0,Q2 2022,Yishun,Room4
310,2400.0,Q2 2022,Yishun,Room5
311,2400.0,Q2 2022,Yishun,Executive
312,1900.0,Q1 2022,Ang Mo Kio,Room3
313,2350.0,Q1 2022,Ang Mo Kio,Room4
314,2600.0,Q1 2022,Ang Mo Kio,Room5
316,1900.0,Q1 2022,Bedok,Room3
317,2200.0,Q1 2022,Bedok,Room4
318,2500.0,Q1 2022,Bedok,Room5
319,2550.0,Q1 2022,Bedok,Executive
320,2130.0,Q1 2022,Bishan,Room3
321,2500.0,Q1 2022,Bishan,Room4
322,2700.0,Q1 2022,Bishan,Room5
324,1900.0,Q1 2022,Bukit Batok,Room3
325,2100.0,Q1 2022,Bukit Batok,Room4
326,2600.0,Q1 2022,Bukit Batok,Room5
328,2100.0,Q1 2022,Bukit Merah,Room3
329,2800.0,Q1 2022,Bukit Merah,Room4
330,3000.0,Q1 2022,Bukit Merah,Room5
332,1700.0,Q1 2022,Bukit Panjang,Room3
333,2100.0,Q1 2022,Bukit Panjang,Room4
334,2400.0,Q1 2022,Bukit Panjang,Room5
340,2300.0,Q1 2022,Central,Room3
341,3000.0,Q1 2022,Central,Room4
344,1780.0,Q1 2022,Choa Chu Kang,Room3
345,2050.0,Q1 2022,Choa Chu Kang,Room4
346,2200.0,Q1 2022,Choa Chu Kang,Room5
347,2300.0,Q1 2022,Choa Chu Kang,Executive
348,2100.0,Q1 2022,Clementi,Room3
349,2600.0,Q1 2022,Clementi,Room4
350,2800.0,Q1 2022,Clementi,Room5
352,2000.0,Q1 2022,Geylang,Room3
353,2500.0,Q1 2022,Geylang,Room4
354,2600.0,Q1 2022,Geylang,Room5
356,1900.0,Q1 2022,Hougang,Room3
357,2200.0,Q1 2022,Hougang,Room4
358,2400.0,Q1 2022,Hougang,Room5
359,2500.0,Q1 2022,Hougang,Executive
360,1900.0,Q1 2022,Jurong East,Room3
361,2300.0,Q1 2022,Jurong East,Room4
362,2500.0,Q1 2022,Jurong East,Room5
364,1800.0,Q1 2022,Jurong West,Room3
365,2200.0,Q1 2022,Jurong West,Room4
366,2460.0,Q1 2022,Jurong West,Room5
367,2510.0,Q1 2022,Jurong West,Executive
368,2100.0,Q1 2022,Kallang/ Whampoa,Room3
369,2600.0,Q1 2022,Kallang/ Whampoa,Room4
370,2700.0,Q1 2022,Kallang/ Whampoa,Room5
372,2030.0,Q1 2022,Marine Parade,Room3
373,2300.0,Q1 2022,Marine Parade,Room4
377,2200.0,Q1 2022,Pasir Ris,Room4
378,2300.0,Q1 2022,Pasir Ris,Room5
379,2400.0,Q1 2022,Pasir Ris,Executive
380,2200.0,Q1 2022,Punggol,Room3
381,2300.0,Q1 2022,Punggol,Room4
382,2300.0,Q1 2022,Punggol,Room5
384,2200.0,Q1 2022,Queenstown,Room3
385,2900.0,Q1 2022,Queenstown,Room4
386,3010.0,Q1 2022,Queenstown,Room5
389,2100.0,Q1 2022,Sembawang,Room4
390,2250.0,Q1 2022,Sembawang,Room5
391,2330.0,Q1 2022,Sembawang,Executive
393,2200.0,Q1 2022,Sengkang,Room4
394,2250.0,Q1 2022,Sengkang,Room5
395,2400.0,Q1 2022,Sengkang,Executive
396,2000.0,Q1 2022,Serangoon,Room3
397,2300.0,Q1 2022,Serangoon,Room4
398,2540.0,Q1 2022,Serangoon,Room5
399,2780.0,Q1 2022,Serangoon,Executive
400,2000.0,Q1 2022,Tampines,Room3
401,2300.0,Q1 2022,Tampines,Room4
402,2500.0,Q1 2022,Tampines,Room5
403,2550.0,Q1 2022,Tampines,Executive
404,2000.0,Q1 2022,Toa Payoh,Room3
405,2450.0,Q1 2022,Toa Payoh,Room4
406,2800.0,Q1 2022,Toa Payoh,Room5
408,1650.0,Q1 2022,Woodlands,Room3
409,2100.0,Q1 2022,Woodlands,Room4
410,2400.0,Q1 2022,Woodlands,Room5
411,2500.0,Q1 2022,Woodlands,Executive
412,1900.0,Q1 2022,Yishun,Room3
413,2100.0,Q1 2022,Yishun,Room4
414,2330.0,Q1 2022,Yishun,Room5
415,2400.0,Q1 2022,Yishun,Executive
416,1900.0,Q4 2021,Ang Mo Kio,Room3
417,2300.0,Q4 2021,Ang Mo Kio,Room4
418,2600.0,Q4 2021,Ang Mo Kio,Room5
420,1900.0,Q4 2021,Bedok,Room3
421,2250.0,Q4 2021,Bedok,Room4
422,2480.0,Q4 2021,Bedok,Room5
424,2100.0,Q4 2021,Bishan,Room3
425,2400.0,Q4 2021,Bishan,Room4
426,2650.0,Q4 2021,Bishan,Room5
428,1800.0,Q4 2021,Bukit Batok,Room3
429,2100.0,Q4 2021,Bukit Batok,Room4
430,2250.0,Q4 2021,Bukit Batok,Room5
432,2000.0,Q4 2021,Bukit Merah,Room3
433,2670.0,Q4 2021,Bukit Merah,Room4
434,3000.0,Q4 2021,Bukit Merah,Room5
436,1600.0,Q4 2021,Bukit Panjang,Room3
437,2000.0,Q4 2021,Bukit Panjang,Room4
438,2200.0,Q4 2021,Bukit Panjang,Room5
439,2100.0,Q4 2021,Bukit Panjang,Executive
444,2300.0,Q4 2021,Central,Room3
445,2800.0,Q4 2021,Central,Room4
449,2000.0,Q4 2021,Choa Chu Kang,Room4
450,2100.0,Q4 2021,Choa Chu Kang,Room5
451,2300.0,Q4 2021,Choa Chu Kang,Executive
452,2000.0,Q4 2021,Clementi,Room3
453,2550.0,Q4 2021,Clementi,Room4
454,2600.0,Q4 2021,Clementi,Room5
456,1900.0,Q4 2021,Geylang,Room3
457,2400.0,Q4 2021,Geylang,Room4
458,2600.0,Q4 2021,Geylang,Room5
460,1800.0,Q4 2021,Hougang,Room3
461,2150.0,Q4 2021,Hougang,Room4
462,2250.0,Q4 2021,Hougang,Room5
463,2500.0,Q4 2021,Hougang,Executive
464,1800.0,Q4 2021,Jurong East,Room3
465,2200.0,Q4 2021,Jurong East,Room4
466,2400.0,Q4 2021,Jurong East,Room5
468,1800.0,Q4 2021,Jurong West,Room3
469,2200.0,Q4 2021,Jurong West,Room4
470,2300.0,Q4 2021,Jurong West,Room5
471,2400.0,Q4 2021,Jurong West,Executive
472,2000.0,Q4 2021,Kallang/ Whampoa,Room3
473,2550.0,Q4 2021,Kallang/ Whampoa,Room4
474,2800.0,Q4 2021,Kallang/ Whampoa,Room5
476,2000.0,Q4 2021,Marine Parade,Room3
477,2480.0,Q4 2021,Marine Parade,Room4
481,2100.0,Q4 2021,Pasir Ris,Room4
482,2200.0,Q4 2021,Pasir Ris,Room5
483,2300.0,Q4 2021,Pasir Ris,Executive
485,2100.0,Q4 2021,Punggol,Room4
486,2100.0,Q4 2021,Punggol,Room5
488,2100.0,Q4 2021,Queenstown,Room3
489,2730.0,Q4 2021,Queenstown,Room4
490,3000.0,Q4 2021,Queenstown,Room5
493,2000.0,Q4 2021,Sembawang,Room4
494,2050.0,Q4 2021,Sembawang,Room5
495,2300.0,Q4 2021,Sembawang,Executive
496,1830.0,Q4 2021,Sengkang,Room3
497,2100.0,Q4 2021,Sengkang,Room4
498,2200.0,Q4 2021,Sengkang,Room5
499,2250.0,Q4 2021,Sengkang,Executive
500,1900.0,Q4 2021,Serangoon,Room3
501,2300.0,Q4 2021,Serangoon,Room4
502,2500.0,Q4 2021,Serangoon,Room5
503,2680.0,Q4 2021,Serangoon,Executive
504,1850.0,Q4 2021,Tampines,Room3
505,2200.0,Q4 2021,Tampines,Room4
506,2400.0,Q4 2021,Tampines,Room5
507,2500.0,Q4 2021,Tampines,Executive
508,2000.0,Q4 2021,Toa Payoh,Room3
509,2500.0,Q4 2021,Toa Payoh,Room4
510,2600.0,Q4 2021,Toa Payoh,Room5
512,1800.0,Q4 2021,Woodlands,Room3
513,2000.0,Q4 2021,Woodlands,Room4
514,2100.0,Q4 2021,Woodlands,Room5
515,2300.0,Q4 2021,Woodlands,Executive
516,1800.0,Q4 2021,Yishun,Room3
517,2000.0,Q4 2021,Yishun,Room4
518,2200.0,Q4 2021,Yishun,Room5
519,2450.0,Q4 2021,Yishun,Executive
520,1850.0,Q3 2021,Ang Mo Kio,Room3
521,2200.0,Q3 2021,Ang Mo Kio,Room4
522,2400.0,Q3 2021,Ang Mo Kio,Room5
524,1800.0,Q3 2021,Bedok,Room3
525,2200.0,Q3 2021,Bedok,Room4
526,2400.0,Q3 2021,Bedok,Room5
527,2700.0,Q3 2021,Bedok,Executive
528,1900.0,Q3 2021,Bishan,Room3
529,2400.0,Q3 2021,Bishan,Room4
530,2600.0,Q3 2021,Bishan,Room5
532,1750.0,Q3 2021,Bukit Batok,Room3
533,2100.0,Q3 2021,Bukit Batok,Room4
534,2300.0,Q3 2021,Bukit Batok,Room5
535,2500.0,Q3 2021,Bukit Batok,Executive
536,2000.0,Q3 2021,Bukit Merah,Room3
537,2600.0,Q3 2021,Bukit Merah,Room4
538,2900.0,Q3 2021,Bukit Merah,Room5
540,1680.0,Q3 2021,Bukit Panjang,Room3
541,2000.0,Q3 2021,Bukit Panjang,Room4
542,2100.0,Q3 2021,Bukit Panjang,Room5
543,2200.0,Q3 2021,Bukit Panjang,Executive
548,2230.0,Q3 2021,Central,Room3
549,2800.0,Q3 2021,Central,Room4
552,1700.0,Q3 2021,Choa Chu Kang,Room3
553,2000.0,Q3 2021,Choa Chu Kang,Room4
554,2000.0,Q3 2021,Choa Chu Kang,Room5
555,2200.0,Q3 2021,Choa Chu Kang,Executive
556,2000.0,Q3 2021,Clementi,Room3
557,2500.0,Q3 2021,Clementi,Room4
558,2700.0,Q3 2021,Clementi,Room5
560,1810.0,Q3 2021,Geylang,Room3
561,2400.0,Q3 2021,Geylang,Room4
562,2860.0,Q3 2021,Geylang,Room5
564,1700.0,Q3 2021,Hougang,Room3
565,2030.0,Q3 2021,Hougang,Room4
566,2200.0,Q3 2021,Hougang,Room5
567,2330.0,Q3 2021,Hougang,Executive
568,1850.0,Q3 2021,Jurong East,Room3
569,2200.0,Q3 2021,Jurong East,Room4
570,2400.0,Q3 2021,Jurong East,Room5
571,2500.0,Q3 2021,Jurong East,Executive
572,1800.0,Q3 2021,Jurong West,Room3
573,2150.0,Q3 2021,Jurong West,Room4
574,2350.0,Q3 2021,Jurong West,Room5
575,2450.0,Q3 2021,Jurong West,Executive
576,2000.0,Q3 2021,Kallang/ Whampoa,Room3
577,2500.0,Q3 2021,Kallang/ Whampoa,Room4
578,2600.0,Q3 2021,Kallang/ Whampoa,Room5
580,1900.0,Q3 2021,Marine Parade,Room3
581,2200.0,Q3 2021,Marine Parade,Room4
585,2050.0,Q3 2021,Pasir Ris,Room4
586,2300.0,Q3 2021,Pasir Ris,Room5
587,2300.0,Q3 2021,Pasir Ris,Executive
588,1950.0,Q3 2021,Punggol,Room3
589,2000.0,Q3 2021,Punggol,Room4
590,2000.0,Q3 2021,Punggol,Room5
592,2000.0,Q3 2021,Queenstown,Room3
593,2750.0,Q3 2021,Queenstown,Room4
594,3000.0,Q3 2021,Queenstown,Room5
597,1900.0,Q3 2021,Sembawang,Room4
598,2050.0,Q3 2021,Sembawang,Room5
599,2200.0,Q3 2021,Sembawang,Executive
601,2100.0,Q3 2021,Sengkang,Room4
602,2100.0,Q3 2021,Sengkang,Room5
603,2200.0,Q3 2021,Sengkang,Executive
604,1880.0,Q3 2021,Serangoon,Room3
605,2300.0,Q3 2021,Serangoon,Room4
606,2500.0,Q3 2021,Serangoon,Room5
608,1850.0,Q3 2021,Tampines,Room3
609,2200.0,Q3 2021,Tampines,Room4
610,2300.0,Q3 2021,Tampines,Room5
611,2450.0,Q3 2021,Tampines,Executive
612,1900.0,Q3 2021,Toa Payoh,Room3
613,2300.0,Q3 2021,Toa Payoh,Room4
614,2600.0,Q3 2021,Toa Payoh,Room5
616,1650.0,Q3 2021,Woodlands,Room3
617,1900.0,Q3 2021,Woodlands,Room4
618,2000.0,Q3 2021,Woodlands,Room5
619,2300.0,Q3 2021,Woodlands,Executive
620,1700.0,Q3 2021,Yishun,Room3
621,2000.0,Q3 2021,Yishun,Room4
622,2150.0,Q3 2021,Yishun,Room5
623,2300.0,Q3 2021,Yishun,Executive
624,1800.0,Q2 2021,Ang Mo Kio,Room3
625,2200.0,Q2 2021,Ang Mo Kio,Room4
626,2450.0,Q2 2021,Ang Mo Kio,Room5
628,1800.0,Q2 2021,Bedok,Room3
629,2100.0,Q2 2021,Bedok,Room4
630,2350.0,Q2 2021,Bedok,Room5
631,2400.0,Q2 2021,Bedok,Executive
632,1900.0,Q2 2021,Bishan,Room3
633,2400.0,Q2 2021,Bishan,Room4
634,2650.0,Q2 2021,Bishan,Room5
636,1700.0,Q2 2021,Bukit Batok,Room3
637,2000.0,Q2 2021,Bukit Batok,Room4
638,2300.0,Q2 2021,Bukit Batok,Room5
639,2400.0,Q2 2021,Bukit Batok,Executive
640,2000.0,Q2 2021,Bukit Merah,Room3
641,2650.0,Q2 2021,Bukit Merah,Room4
642,2900.0,Q2 2021,Bukit Merah,Room5
644,1600.0,Q2 2021,Bukit Panjang,Room3
645,1900.0,Q2 2021,Bukit Panjang,Room4
646,2100.0,Q2 2021,Bukit Panjang,Room5
647,2200.0,Q2 2021,Bukit Panjang,Executive
652,2200.0,Q2 2021,Central,Room3
653,2800.0,Q2 2021,Central,Room4
657,1900.0,Q2 2021,Choa Chu Kang,Room4
658,2000.0,Q2 2021,Choa Chu Kang,Room5
659,2200.0,Q2 2021,Choa Chu Kang,Executive
660,2000.0,Q2 2021,Clementi,Room3
661,2500.0,Q2 2021,Clementi,Room4
662,2600.0,Q2 2021,Clementi,Room5
664,1800.0,Q2 2021,Geylang,Room3
665,2300.0,Q2 2021,Geylang,Room4
666,2530.0,Q2 2021,Geylang,Room5
668,1700.0,Q2 2021,Hougang,Room3
669,2000.0,Q2 2021,Hougang,Room4
670,2200.0,Q2 2021,Hougang,Room5
671,2300.0,Q2 2021,Hougang,Executive
672,1800.0,Q2 2021,Jurong East,Room3
673,2150.0,Q2 2021,Jurong East,Room4
674,2400.0,Q2 2021,Jurong East,Room5
676,1700.0,Q2 2021,Jurong West,Room3
677,2050.0,Q2 2021,Jurong West,Room4
678,2300.0,Q2 2021,Jurong West,Room5
679,2300.0,Q2 2021,Jurong West,Executive
680,2000.0,Q2 2021,Kallang/ Whampoa,Room3
681,2500.0,Q2 2021,Kallang/ Whampoa,Room4
682,2750.0,Q2 2021,Kallang/ Whampoa,Room5
684,1850.0,Q2 2021,Marine Parade,Room3
685,2200.0,Q2 2021,Marine Parade,Room4
689,2000.0,Q2 2021,Pasir Ris,Room4
690,2100.0,Q2 2021,Pasir Ris,Room5
691,2300.0,Q2 2021,Pasir Ris,Executive
692,1800.0,Q2 2021,Punggol,Room3
693,2000.0,Q2 2021,Punggol,Room4
694,2050.0,Q2 2021,Punggol,Room5
696,2000.0,Q2 2021,Queenstown,Room3
697,2700.0,Q2 2021,Queenstown,Room4
698,2900.0,Q2 2021,Queenstown,Room5
701,1900.0,Q2 2021,Sembawang,Room4
702,2000.0,Q2 2021,Sembawang,Room5
703,2100.0,Q2 2021,Sembawang,Executive
705,2000.0,Q2 2021,Sengkang,Room4
706,2050.0,Q2 2021,Sengkang,Room5
707,2230.0,Q2 2021,Sengkang,Executive
708,1850.0,Q2 2021,Serangoon,Room3
709,2200.0,Q2 2021,Serangoon,Room4
710,2350.0,Q2 2021,Serangoon,Room5
712,1800.0,Q2 2021,Tampines,Room3
713,2100.0,Q2 2021,Tampines,Room4
714,2300.0,Q2 2021,Tampines,Room5
715,2400.0,Q2 2021,Tampines,Executive
716,1900.0,Q2 2021,Toa Payoh,Room3
717,2300.0,Q2 2021,Toa Payoh,Room4
718,2650.0,Q2 2021,Toa Payoh,Room5
720,1530.0,Q2 2021,Woodlands,Room3
721,1880.0,Q2 2021,Woodlands,Room4
722,2000.0,Q2 2021,Woodlands,Room5
723,2200.0,Q2 2021,Woodlands,Executive
724,1650.0,Q2 2021,Yishun,Room3
725,2000.0,Q2 2021,Yishun,Room4
726,2150.0,Q2 2021,Yishun,Room5
727,2300.0,Q2 2021,Yishun,Executive
728,1800.0,Q1 2021,Ang Mo Kio,Room3
729,2200.0,Q1 2021,Ang Mo Kio,Room4
730,2400.0,Q1 2021,Ang Mo Kio,Room5
732,1800.0,Q1 2021,Bedok,Room3
733,2100.0,Q1 2021,Bedok,Room4
734,2350.0,Q1 2021,Bedok,Room5
735,2500.0,Q1 2021,Bedok,Executive
736,1880.0,Q1 2021,Bishan,Room3
737,2300.0,Q1 2021,Bishan,Room4
