,Rental_Price
3247,2400.0
276,2600.0
124,3000.0
664,1950.0
4680,1400.0
4734,1400.0
2799,2700.0
1514,2200.0
643,2400.0
3099,3000.0
1398,2580.0
1795,1880.0
771,2850.0
652,2200.0
2315,2600.0
3048,2600.0
2946,3000.0
1638,1890.0
32,2700.0
3416,2700.0
3064,2180.0
2385,2800.0
1456,2350.0
501,2000.0
3147,3000.0
2287,1650.0
784,2200.0
3417,2000.0
2180,1500.0
515,2400.0
3932,1700.0
4496,1900.0
1775,2230.0
991,1700.0
4046,2000.0
4133,1880.0
1204,2100.0
748,1700.0
1035,1800.0
3373,2300.0
3323,2300.0
3709,2600.0
4614,1500.0
4125,2000.0
4487,2100.0
431,1850.0
321,2400.0
1334,1800.0
2264,2100.0
1345,1750.0
2558,2600.0
1423,1900.0
4200,1800.0
1107,2200.0
1932,1500.0
1071,1600.0
1644,2380.0
80,2200.0
2556,1900.0
1103,1900.0
3486,1700.0
4476,1900.0
3675,2000.0
157,2000.0
3460,2300.0
544,2100.0
1952,2300.0
185,2200.0
300,2300.0
1598,2350.0
3821,1650.0
1774,2100.0
3484,2400.0
1082,2300.0
2802,2500.0
1578,2600.0
4458,1800.0
2038,2700.0
2891,2200.0
4675,1500.0
4072,1780.0
489,2300.0
360,2100.0
1816,1700.0
3102,2500.0
4638,1950.0
2535,1900.0
1960,2150.0
2825,2550.0
1441,2500.0
1927,2300.0
248,3000.0
4079,1550.0
760,2500.0
2303,2200.0
4008,2000.0
2576,2200.0
699,2000.0
493,2900.0
235,2600.0
3851,2800.0
3384,2050.0
626,1800.0
162,2800.0
1117,1800.0
1055,1500.0
3185,2400.0
2395,2400.0
1045,1800.0
3187,2850.0
2541,2200.0
3266,2100.0
3309,1900.0
3865,1930.0
3316,1800.0
2563,2100.0
1799,1800.0
1346,1900.0
299,2000.0
1964,1900.0
4073,1900.0
3562,2200.0
53,4200.0
2998,2000.0
1791,2600.0
1911,1800.0
4713,1200.0
872,1550.0
1890,2550.0
3052,2300.0
414,2200.0
4438,1500.0
3953,2000.0
3216,2500.0
1959,1900.0
1739,1900.0
4636,1480.0
4572,1800.0
3477,2350.0
957,2300.0
651,2000.0
2689,2600.0
4055,1650.0
4465,2000.0
3756,1600.0
4774,1600.0
823,2580.0
389,2300.0
3523,2000.0
4455,1800.0
353,2300.0
3240,2550.0
1194,1800.0
2406,2000.0
3608,2450.0
230,2250.0
1698,1700.0
2881,2400.0
4161,1900.0
1507,1750.0
3449,1850.0
2966,2400.0
383,2000.0
2014,2700.0
1215,1600.0
2532,2800.0
2728,2200.0
267,2500.0
3551,2250.0
4178,1650.0
4010,2000.0
869,1710.0
2097,1500.0
3657,2200.0
4137,1450.0
2723,2600.0
4324,1200.0
2026,1800.0
125,2750.0
334,2800.0
3131,3200.0
1755,1900.0
1371,2100.0
3734,2100.0
4686,1300.0
1161,2050.0
3575,2600.0
2103,2200.0
1701,2500.0
2282,2400.0
2692,2350.0
4446,2200.0
947,1400.0
3925,1700.0
735,1900.0
2095,2500.0
1354,2350.0
3355,2150.0
130,3600.0
1998,1900.0
3201,2900.0
2196,2450.0
1482,1600.0
